Item Name,Proteins,Carbohydrates,Fats,Price
Muffin Mix - Morning Glory,9.3,40.2,22,280
Veal - Eye Of Round,31.4,36.9,30.4,206
Clam - Cherrystone,25.1,14.4,29.4,215
"Pepper - Chipotle, Canned",9.5,25.7,22.6,168
Cookie Double Choco,27,15.6,8.7,181
Roe - White Fish,12.3,18.1,17.9,135
Bread Foccacia Whole,40.7,9.7,12.1,203
Cactus Pads,1,31.5,6.9,295
Compound - Passion Fruit,14.4,47.2,13.1,131
Dc Hikiage Hira Huba,19.2,4.8,14.4,271
Bonito Flakes - Toku Katsuo,23.8,45.9,13.5,300
Dill Weed - Dry,35.2,46.4,3.3,286
Beef Ground Medium,22.9,27.1,21.1,232
Cheese - Swiss Sliced,9.4,40,43.6,225
Red Pepper Paste,33.9,34.1,48.4,116
Cheese - Stilton,20.9,42.5,27,131
Fondant - Icing,16.7,1.7,9.7,90
Juice - Apple 284ml,37.3,45.3,40.6,280
Milk - Chocolate 250 Ml,21.6,32.4,14.1,179
Mahi Mahi,34.6,28.3,49.6,57
Rootbeer,43,46.6,11.4,142
Swiss Chard,3.2,38.4,18.2,230
Bananas,13.1,24.1,27.6,243
Parsley - Dried,37.2,12.7,29.6,195
"Bread - Roll, Whole Wheat",17.5,44.9,23.9,287
Muffin Puck Ww Carrot,35.1,6.5,18.2,127
"Sauce - Bernaise, Mix",48.4,49.3,47.5,106
Beef - Cow Feet Split,14.9,30.4,18.7,181
Eggwhite Frozen,37.9,12.3,40.1,200
Chocolate Eclairs,14.7,39.8,45.5,300
Flower - Leather Leaf Fern,34.7,9.4,28,68
Peas - Frozen,19.4,29.9,43.5,84
Beer - True North Strong Ale,36.2,22,5.3,191
Muffin - Banana Nut Individual,6.6,0.5,34.2,197
Veal - Slab Bacon,25.7,28.9,16.2,210
"Melon - Watermelon, Seedless",48.1,3.2,0.9,249
Muffin Mix - Carrot,23.9,15.8,31.8,51
Spice - Peppercorn Melange,11.3,6.7,34,278
"Beans - Fava, Canned",14.4,13.6,8.6,97
Pear - Prickly,3.2,23,12.4,55
Cheese - Cheddar With Claret,47,13.3,39.8,61
Shrimp - 100 / 200 Cold Water,29.3,32.3,48.1,57
Lamb - Loin Chops,29.6,17,32.1,92
Quail Eggs - Canned,22.9,41.1,33.9,139
Truffle Cups - White Paper,27.8,0.7,3.5,173
Bread - Corn Muffaletta,23.5,35.1,12.6,276
Raisin - Dark,21.1,49.2,10.8,193
Muffin Batt - Blueberry Passion,5.7,23.5,3.1,89
"Bread - Bagels, Mini",8.9,38.6,12.1,285
Jam - Apricot,7,2.3,5.8,240
"Shrimp - 21/25, Peel And Deviened",12.7,26.7,45.7,202
Potatoes - Mini Red,2.3,25.2,42.8,89
Wine - Chateau Aqueria Tavel,33,34.3,32.7,56
Wine - Pinot Noir Mondavi Coastal,23.2,45.7,31,257
"Spoon - Soup, Plastic",13.2,4.6,39.7,103
Beer - Tetleys,10.5,1.3,39.6,220
"Vermouth - White, Cinzano",36.9,25.6,21.8,96
Beer - Camerons Cream Ale,35.6,14.6,31.8,164
Chutney Sauce - Mango,1.2,37.2,27.7,229
"Bread - Roll, Soft White Round",36.8,0.7,13,149
Syrup - Monin - Blue Curacao,20.9,4.6,20.8,115
Venison - Ground,31.9,21.5,40.2,90
Remy Red,39,42.4,17.2,91
Onions - Vidalia,23.5,40.7,8.5,257
Dates,26.2,10.7,22,153
"Wine - White, Ej",31.6,28.6,22.7,174
Pork - European Side Bacon,45.9,10,21.2,196
Cheese - Brick With Pepper,27.3,28.1,20.1,81
Apricots Fresh,16.5,8.2,34.4,184
"Wine - Red, Colio Cabernet",21.8,33.1,28.2,268
Appetizer - Veg Assortment,32.3,35.3,19.8,255
Trout - Smoked,34.6,16.4,42.9,134
Pails With Lids,36.4,2.7,32.7,152
Wine - Shiraz South Eastern,25.4,28.9,10.6,249
"Pasta - Fett Alfredo, Single Serve",42.7,32.6,39,147
"Gin - Gilbeys London, Dry",35.9,49.6,7.1,210
Veal Inside - Provimi,0.1,0.5,48.9,239
Tomatoes - Orange,38,8.7,19.1,256
Anchovy Fillets,3.3,16.5,17.1,216
Stainless Steel Cleaner Vision,39.9,39.8,43.1,67
Cheese - St. Paulin,12.1,39.9,5,279
Juice - Lemon,46.9,23.4,16.1,159
Pineapple - Regular,10.2,17.2,5.3,212
"Cheese - Woolwich Goat, Log",16,1.4,43.7,296
Bread Fig And Almond,2.9,0.3,48.6,173
Grapes - Black,33.3,12.5,36.3,254
Pork - Kidney,46.8,39.3,19.2,84
Carrots - Mini Red Organic,20.1,31.5,7.6,300
V8 - Berry Blend,12.8,9.2,36.2,286
Glass - Juice Clear 5oz 55005,16.3,43.2,20.9,148
Beets - Mini Golden,4.6,41.7,11.7,77
Extract Vanilla Pure,13.1,36.6,47.1,250
Olives - Morracan Dired,38.1,24.8,4.6,259
Broom - Angled,19.9,11.1,16.7,263
Island Oasis - Sweet And Sour Mix,40.7,10.8,23.9,218
Kiwi Gold Zespri,18.5,33.4,40.8,291
Irish Cream - Baileys,23.1,16.7,7.3,249
Nacho Chips,23.9,49.3,1.5,143
Gatorade - Fruit Punch,7,0.9,25.6,213
Croissants Thaw And Serve,19,37.3,24.6,129
Juice - Lime,16.2,40.2,24.8,98
Oil - Olive Bertolli,34.1,32,41.4,249
Bread - Multigrain,38.9,7.9,14.9,178
Brandy Apricot,27,5.7,28.4,179
Soup - Campbells Mac N Cheese,47.8,48.8,15.8,201
Crush - Cream Soda,37.1,3.5,14.9,89
Calypso - Pineapple Passion,17.7,42,28.3,75
Onions - Vidalia,43.9,40.2,37.9,183
Tea - Apple Green Tea,1.6,23.9,44.9,209
"Jam - Raspberry,jar",10.2,49.2,1.6,80
Wine - Balbach Riverside,0.9,14.1,44.6,237
Green Scrubbie Pad H.duty,4.1,13.8,4.9,232
Venison - Liver,19.6,35.2,5.9,238
Pepper - Scotch Bonnet,5.6,6.1,15.4,228
Scampi Tail,25.8,43.6,6.8,212
Goulash Seasoning,32.6,25.6,37.8,178
"Tart Shells - Sweet, 3",34.9,28.9,21.9,240
"Bread - White, Unsliced",31.9,11.8,29.1,76
Table Cloth 90x90 White,7.9,44.4,44.6,189
"Nut - Pecan, Pieces",37,26.4,34.4,126
"Nut - Almond, Blanched, Sliced",0.6,39.4,10.2,197
Pomegranates,23.1,45.1,46.6,252
Juice - Happy Planet,13.4,19.4,24.2,172
Soup - Campbells Bean Medley,43.5,31.8,15.5,151
Carbonated Water - Blackberry,17.9,26.7,14.4,259
Appetizer - Tarragon Chicken,39.7,9.9,17.2,282
"Wine - Niagara,vqa Reisling",35.8,29.2,28.1,174
"Crab - Blue, Frozen",28,33.2,10.1,125
Table Cloth 90x90 Colour,36.3,11.4,48.1,286
Lettuce - Baby Salad Greens,17.6,43.1,5.4,244
"Lamb - Whole, Fresh",43.7,14.8,11.2,99
Bar - Sweet And Salty Chocolate,35.3,28.2,49.9,216
Breakfast Quesadillas,39.3,43.1,38.4,249
"Coffee - Colombian, Portioned",6,35.2,6.7,283
Wine - German Riesling,9.8,19.2,30.1,118
"Stock - Veal, White",28.9,32.8,19,85
Table Cloth 72x144 White,4.8,9.6,31.9,217
"Lemonade - Island Tea, 591 Ml",40.8,19.4,7.3,240
"Flour - Corn, Fine",19.9,22.9,32.2,185
Pepper - Cubanelle,44.3,31.9,31.4,119
Bread - Multigrain Oval,2.5,22.6,39.4,252
Creme De Menth - White,10.2,22.2,44,145
Chips - Potato Jalapeno,19.5,9.7,26,180
Garbag Bags - Black,31.6,19.9,6,66
Aspic - Light,27.4,31.2,35.7,215
Pie Filling - Pumpkin,36.6,0.7,27.9,141
"Lamb - Whole, Frozen",9.6,36.8,2.2,269
Cabbage - Nappa,6.1,15.2,2.3,180
Bread - Italian Sesame Poly,7.7,1,6.8,70
Glove - Cutting,30.1,36.1,34.3,161
Graham Cracker Mix,8.2,7.1,3,229
"Cheese - Havarti, Salsa",37.2,11.1,21.4,294
Wine - Carmenere Casillero Del,23.3,15.8,41.2,205
Juice - Apple 284ml,44.1,49.4,34,239
Muffin Mix - Morning Glory,33.8,15.9,49.6,109
Bulgar,3.4,7.5,7.1,229
Avocado,33.4,17.4,14.9,182
Coffee - Decaffeinato Coffee,26,1.8,11.6,73
Mustard Prepared,4.7,38.3,25,91
Olives - Morracan Dired,10.2,35,29.1,269
Mace Ground,37.1,11.4,34.4,231
Water - Tonic,40.4,32,35.7,271
"Trout - Rainbow, Frozen",33.9,35,39.5,148
"Sauce - White, Mix",8.2,28.5,25.6,58
"Croissant, Raw - Mini",22.5,27.7,10.4,274
Eggplant Oriental,31.9,33.3,36.4,258
Sausage - Andouille,44.9,40,47.8,157
Sherry - Dry,43.6,32,19.1,187
Beef - Shank,25.3,15.6,44.6,195
Muffin Orange Individual,38,36.1,17.8,255
Sping Loaded Cup Dispenser,48.6,32.6,23.1,72
Kumquat,4,10.9,40.8,193
"Pasta - Spaghetti, Dry",45.5,3.8,35.4,185
Tomatoes - Grape,2.2,32.3,8.8,225
"Turkey - Whole, Fresh",24.4,32.8,33,118
"Pepsi - Diet, 355 Ml",13.5,4.4,41.3,246
Hipnotiq Liquor,4.9,41.9,3.7,64
Pear - Halves,6.7,17.7,22,236
Pork - Kidney,30.8,19.8,23.7,224
"Nut - Walnut, Chopped",1.8,25.6,7.7,297
Bar Special K,6.9,0.8,23,127
"Cheese - Mozzarella, Shredded",4.1,47.1,15.8,107
"Juice - Apple, 1.36l",24,15.5,11.6,271
Hot Chocolate - Individual,47.1,12,45.5,132
Mushroom - Lg - Cello,0.7,24.6,17.1,63
"Nut - Chestnuts, Whole",18.6,0.5,31.5,192
Dome Lid Clear P92008h,25.5,6.1,10.6,239
Broccoli - Fresh,14.3,18.6,0.3,217
Pants Custom Dry Clean,17.4,24.2,34.6,134
Barramundi,20.7,0.5,1.8,177
Gingerale - Diet - Schweppes,10,16.7,23.1,254
Wine - Tio Pepe Sherry Fino,22.4,39.6,18.2,191
Cheese - Wine,42.8,37.5,14.7,294
"Pepper - Paprika, Spanish",43.8,7.2,44.1,254
"Pasta - Canelloni, Single Serve",0.1,3.3,17.3,160
"Bread - White, Sliced",34.2,17.2,23.1,207
Onions - Green,22.3,0.2,44.7,69
Wine - Rioja Campo Viejo,44.8,2.8,27.4,281
Emulsifier,25.4,7.3,14.7,107
"Onions - Dried, Chopped",12,48.7,4.6,99
"Clams - Littleneck, Whole",28.8,12.7,42.6,281
Scallops - U - 10,49.7,49.5,16.6,181
Island Oasis - Magarita Mix,26.5,16.3,16.2,223
Irish Cream - Butterscotch,34.3,40.4,5.6,268
Sprouts - China Rose,25.5,22.9,3.2,98
Banana - Green,42.1,40.6,43.5,165
Oranges,48.6,6.3,16.4,231
"Doilies - 7, Paper",31.3,3.8,6.7,260
Chinese Foods - Thick Noodles,40.8,21.8,36.6,228
Sugar - Fine,16.3,8.8,28,212
Lobster - Canned Premium,11.2,30.6,46.6,223
Ginger - Ground,36,18.4,28.7,238
Milk 2% 500 Ml,8.2,38,5.2,152
Olives - Kalamata,32.3,14,49.5,73
Parsley Italian - Fresh,39.7,8.2,24.9,118
Scotch - Queen Anne,49.8,41.1,48.8,204
Pastry - Cherry Danish - Mini,43,6.3,12.3,290
Figs,20,42.5,6.2,108
Jack Daniels,45.2,24.7,44,263
Cheese - Marble,3,11.4,19.4,92
Ham - Black Forest,29.5,48.6,36.7,230
Duck - Fat,9,28.4,41.9,288
"Pasta - Fett Alfredo, Single Serve",10.5,21.3,25.1,252
Napkin Colour,16.1,5.7,46.5,127
Compound - Raspberry,34.7,11.9,49,61
Pears - Anjou,32.3,38.7,29.5,108
Corn Syrup,36.8,20,6.2,162
Fruit Salad Deluxe,0.4,28.9,45.8,116
Wine - Puligny Montrachet A.,13.8,29.7,32.1,142
Cheese - Stilton,37.9,25.9,26.7,52
"Wine - Red, Antinori Santa",33.3,35.3,11.4,271
Sage Ground Wiberg,21.7,49.5,35.1,271
Puree - Passion Fruit,28,41.6,4.2,189
Flour Dark Rye,10.8,24,49,227
Water - Evian 355 Ml,14.6,45.8,15.7,170
Beer - Pilsner Urquell,38.9,17.2,20.1,157
"Tortillas - Flour, 8",11.1,38.2,12.9,147
Browning Caramel Glace,23.2,35.1,48.9,65
"Veal - Brisket, Provimi,bnls",22.3,13.4,31.8,104
Clementine,13.5,25.4,29.8,57
"Pail - 4l White, With Handle",32.3,25.5,35.5,231
Coconut - Whole,39.6,40.1,43.7,186
Wine - Champagne Brut Veuve,14.1,14.8,16.5,54
Shrimp - 31/40,42.2,45.1,14.7,104
Vanilla Beans,39.8,3.6,34.5,235
Bread Crumbs - Panko,10.2,46,6.3,217
Sauce - Oyster,17.3,20.3,42.5,56
"Pork - Ham, Virginia",26.4,4.4,48.3,85
Longos - Cheese Tortellini,47.2,14.8,12.8,117
Chocolate - Liqueur Cups With Foil,38.5,37.9,5,115
Sambuca Cream,15.1,35.6,0.1,214
Ecolab - Hobart Upr Prewash Arm,46.6,4.5,28.3,121
Cake Slab,44.5,19.9,9.8,195
Beef - Flank Steak,15.5,0.1,2.3,245
Wine - Stoneliegh Sauvignon,19.8,48.5,18.5,291
Bread - Italian Sesame Poly,20.6,6.4,42,72
"Juice - Orange, Concentrate",18.7,18.7,15.9,249
Gherkin,3.8,33,44.5,202
Pineapple - Regular,47.8,1.2,2.9,116
"Beef - Ground, Extra Lean, Fresh",29.4,14.4,20.8,57
Milkettes - 2%,47.7,26.1,19.9,168
Muffin Hinge 117n,20.5,44.8,44.1,248
Pumpkin,23,38.5,21.9,181
"Soup - Knorr, French Onion",30.1,23.2,10.9,81
Soupfoamcont12oz 112con,6.9,25.9,6.1,224
Lettuce - Lambs Mash,19.9,23.1,11.7,256
Parasol Pick Stir Stick,39.9,19.5,48,277
Vinegar - Sherry,33,21.2,15.4,75
Mudslide,32.2,10.8,30.5,60
Green Tea Refresher,36.8,19.8,26.4,90
Grenadillo,27.8,16.2,13.7,258
Cleaner - Lime Away,41.5,27.3,29.7,173
Crush - Cream Soda,27.9,19.3,49.2,80
Bagel - Sesame Seed Presliced,38.1,29.9,26.3,90
"Oregano - Dry, Rubbed",30.2,40.8,10.7,98
Wine - Barossa Valley Estate,49.8,22.6,16.2,259
Fudge - Cream Fudge,41.1,36.9,19.8,127
Rice - Sushi,49.9,1.5,24.1,271
"Asparagus - White, Canned",9.5,10.3,0,223
Truffle Shells - White Chocolate,32.1,13.4,45.1,185
Sunflower Seed Raw,45,17.4,22.6,168
Wine - Placido Pinot Grigo,31.9,12.3,29.9,205
"Onions - Dried, Chopped",25.5,24,2.4,124
"Beef - Kindney, Whole",48.3,2.8,23.9,175
Tea - Mint,34.6,13.7,8.7,275
Pancetta,8.4,7.3,47.5,243
Versatainer Nc - 888,48.6,20.2,24.5,143
"Veal - Tenderloin, Untrimmed",46.9,41.7,39.5,117
Energy Drink - Redbull 355ml,41.3,12.2,20.9,257
Pepper - Chili Powder,10.6,21.7,23,70
Flower - Daisies,2,7.4,0.4,271
Cleaner - Lime Away,16.8,38.7,26.5,59
V8 - Vegetable Cocktail,34.9,2.9,42.1,213
Ham - Procutinni,1.5,39.7,3.3,237
Chicken - White Meat With Tender,0,2.3,11.9,266
"Soup - Knorr, Country Bean",44.3,33.1,45,226
"Pepper - Paprika, Hungarian",28.8,42.3,28.8,229
"Coke - Classic, 355 Ml",3.4,10.2,44.8,87
Water - Evian 355 Ml,30.5,8.5,5.6,173
Butter - Unsalted,28.1,47.8,0.2,62
Juice - Orangina,17.3,25.5,35.7,272
Cape Capensis - Fillet,5,14.3,21.3,295
Sauce - Hollandaise,46.7,24.3,31.7,229
"Pasta - Shells, Medium, Dry",26.8,23.9,6.4,152
Tea - Herbal Sweet Dreams,21,48.4,47.6,93
Canada Dry,10,26.3,10,63
Beets - Golden,46.3,14.6,36.7,150
Cheese - La Sauvagine,22.3,30,29.9,207
"Dill - Primerba, Paste",27.2,46.9,5.4,143
Capicola - Hot,47,41.6,9.7,123
Plate Pie Foil,6.7,18.6,7.8,248
Bananas,9.2,7.5,11.7,157
Bread - Granary Small Pull,44.4,1.3,20.5,163
Cod - Black Whole Fillet,21.7,9.7,29.4,85
Oranges,30.4,30.2,41.2,97
Sauce - Alfredo,26.3,43.6,36.2,74
Scallop - St. Jaques,24.1,47,18.9,95
Ocean Spray - Kiwi Strawberry,41.2,18.9,36.2,125
Mushroom - Porcini Frozen,21.8,9.8,19.5,65
Syrup - Pancake,22.1,43.7,46,258
Sauce - Balsamic Viniagrette,6.5,22.8,18.3,246
"Salmon - Atlantic, No Skin",3.7,14.1,9.2,78
"Bread - Bagels, Plain",27.2,26.9,1.9,102
Pancetta,27.9,30.9,42.4,256
Sage Ground Wiberg,36.5,18.3,0.7,107
"Yogurt - Cherry, 175 Gr",31.9,35.7,29,79
Wine - Bouchard La Vignee Pinot,30.1,30.8,20.6,122
Ham - Cooked Italian,25.9,5.7,7.7,186
Piping Jelly - All Colours,22.3,48.4,19.3,272
Wine - Charddonnay Errazuriz,12.5,19.8,37.6,65
Instant Coffee,38.3,49.4,25.4,71
Appetizer - Sausage Rolls,40.8,26.8,11.4,134
Tomato - Tricolor Cherry,3.5,34.3,39.1,181
Bowl 12 Oz - Showcase 92012,33.6,23.9,32.4,128
Cheese - Perron Cheddar,3.6,10.1,0.2,222
"Tart Shells - Barquettes, Savory",1.4,44,31,122
Sprouts - Alfalfa,8.6,5,13.3,52
"Bread - Sticks, Thin, Plain",22.6,0.1,23.8,117
Cup - Translucent 7 Oz Clear,30.8,33,28.1,271
Cookie Dough - Chunky,2.1,6.8,12.4,197
Ecolab Crystal Fusion,38.4,32.7,23.9,110
Horseradish - Prepared,32.7,44.4,8,282
Pickerel - Fillets,22.1,48.3,3.7,232
"Turkey - Breast, Double",39.8,35.9,10.2,138
Dip - Tapenade,31.2,48,4.1,291
Compound - Mocha,42.4,7.8,3.4,209
Brandy Cherry - Mcguinness,35.3,13.4,18.4,89
"Pasta - Lasagna, Dry",39.7,36.8,7.1,125
Island Oasis - Strawberry,28.9,49.5,27.8,108
Lotus Leaves,18.3,40.8,36.3,281
Bread - Flat Bread,46.1,37.1,6.2,143
Sprouts - Brussel,45.3,16.2,38.9,98
Cheese - Brie Roitelet,43.8,5.9,46.7,117
Chicken - White Meat With Tender,20.6,32.1,24,208
Pasta - Canelloni,36.3,11,15.4,54
Pails With Lids,36.3,4.7,48.6,85
Food Colouring - Red,35.1,13.3,29.1,69
Lamb - Loin Chops,34.6,14.4,23.4,213
Cream - 10%,41.4,9,20.9,277
"Pail - 15l White, With Handle",24.5,17.1,30.4,68
Pastry - Chocolate Chip Muffin,46.1,45.8,49.3,251
Veal - Heart,39.2,16.9,44.5,178
Mushrooms - Honey,46,44.2,1.3,220
Calypso - Pineapple Passion,14.2,24.7,2.7,193
Creme De Banane - Marie,40.1,10.2,15.8,221
Tamarind Paste,14,28.8,31.8,261
Wine - Black Tower Qr,11.4,29.5,27.3,259
Cheese - Gouda,42.5,37.3,14.8,73
Bagel - Everything Presliced,20.7,15.4,8.6,284
Soup Campbells,25.3,27,48.7,250
"Juice - Apple, 341 Ml",12,45.8,31.5,232
Cookies Cereal Nut,20.8,39.7,16.5,57
Raspberries - Frozen,33.5,32.4,19.4,75
Fish - Bones,21.7,36.7,16.2,181
Bouq All Italian - Primerba,32.3,40.7,8.6,93
Tea - Mint,48.3,10.8,42.6,176
"Shrimp - 16/20, Iqf, Shell On",36.4,28.8,38.4,240
Chambord Royal,8.3,26.1,12.4,138
"Lamb - Whole Head Off,nz",26.4,36,28.8,246
Crab - Soft Shell,6.3,11.6,42.8,246
Mortadella,11,2,48.6,209
Table Cloth 120 Round White,5.2,40.8,38.1,130
Napkin White - Starched,22.5,10.4,31.5,204
Broom And Brush Rack Black,30,40.9,8.9,212
"Bread - Pita, Mini",11.1,11.3,13.3,246
Aspic - Clear,44.4,39.2,28.6,176
Trout Rainbow Whole,10.4,6.5,22.6,58
Creamers - 10%,46,25.9,12.5,181
Compound - Orange,3.2,19,1.5,174
Triple Sec - Mcguinness,47.6,31.2,30.1,299
Wine - Sicilia Igt Nero Avola,12.3,32.1,21.2,109
Appetiser - Bought,36.4,35.8,12.5,257
Wine - Ruffino Chianti,14.3,0.5,3.9,121
Sauce - Hollandaise,42.7,34.4,2.3,217
Beef - Short Ribs,39.6,31.2,49.1,209
"Water - Spring Water, 355 Ml",14.1,3.2,44,79
Cookies Almond Hazelnut,3.2,23.8,47.2,290
"Yogurt - Raspberry, 175 Gr",44.4,38.8,31.7,56
Wine - Vineland Estate Semi - Dry,2.7,8.2,49,61
Lettuce - Curly Endive,11.3,24,44.6,104
"Oil - Truffle, Black",20.5,12.5,31.5,57
Plums - Red,15.1,44.6,29.7,60
"Soup - Knorr, Chicken Gumbo",45.5,17.1,35.4,215
Raisin - Dark,24.1,8,39.3,117
Cherries - Frozen,19.8,32.2,44.1,87
Lettuce - Spring Mix,46.1,30.7,29.5,227
Beef - Flank Steak,27.9,28.7,33.1,249
Lamb Rack Frenched Australian,11.9,26.2,13,163
Rice - Brown,34.4,39.7,31.1,249
The Pop Shoppe - Cream Soda,8,15.8,4.5,68
Wine - Blue Nun Qualitatswein,20.7,2.4,27,268
"Beef - Rouladin, Sliced",32,25.9,10.8,72
Beef - Striploin Aa,24,16.9,1.8,162
Sage - Rubbed,31.6,19,0,188
Tea - Black Currant,40.7,38.2,21,237
Turnip - Mini,4.3,23.6,44.1,263
Turnip - White,10.1,38.3,10.7,127
Wine - Magnotta - Bel Paese White,3.9,38.8,14.6,203
Versatainer Nc - 888,35.7,36.4,11.5,68
Wine - Black Tower Qr,39.6,24.2,27.4,81
Black Currants,40.3,37.7,17.6,88
Mcguinness - Blue Curacao,28.3,37.6,17.4,273
Beef - Top Sirloin,0.2,27.6,13,71
Beef Dry Aged Tenderloin Aaa,21,15.6,0.7,67
Muffin Batt - Carrot Spice,18,46.3,11.6,197
Wine - Magnotta - Pinot Gris Sr,8.2,6.7,35,196
Wine - Cava Aria Estate Brut,2,36.8,42.4,275
"Fish - Soup Base, Bouillon",46.1,41.3,21.1,136
Graham Cracker Mix,34,22.1,23.6,57
"Iced Tea - Lemon, 340ml",3.6,5.2,42,193
Long Island Ice Tea,24,1.9,42.8,229
Apple - Macintosh,43.2,47.5,7.7,224
Pasta - Angel Hair,39.9,2.7,49.4,201
Cups 10oz Trans,14.5,10.9,20.9,283
Napkin Colour,40.1,15.4,6,288
Sardines,1.1,7.5,7.1,101
Dc - Frozen Momji,15.1,34.7,10.1,201
Wine - Dubouef Macon - Villages,36,20,49.8,171
Beef - Tenderloin,43.8,15,40.2,219
Straws - Cocktale,32.1,9.3,19,254
Ecolab Crystal Fusion,2.2,3.9,37.7,262
Longos - Burritos,7,7,29.7,289
Wine - Muscadet Sur Lie,12.8,41.6,40,115
Vinegar - White,35.4,30.8,1.4,194
"Wine - Harrow Estates, Vidal",23.5,24.8,1.9,54
"Iced Tea - Lemon, 460 Ml",24.2,1.1,9.4,253
Anchovy In Oil,26.2,13.9,10.7,128
Kellogs All Bran Bars,40.5,12.5,16.5,76
Steampan - Lid For Half Size,45.6,7,27.2,135
Allspice - Jamaican,30.2,48.7,13.8,130
"Stock - Veal, Brown",13,0.5,13.2,195
"Cup - 3.5oz, Foam",22.3,44.4,23.4,296
Veal - Ground,2.2,40,35.4,284
Bamboo Shoots - Sliced,39.3,38.6,0.2,294
Wine - Barbera Alba Doc 2001,42.5,37.9,36,262
Bread - Kimel Stick Poly,44.9,39.3,39.7,213
Shrimp - Black Tiger 13/15,36.2,45.4,20.1,92
Onion Powder,20.9,43.6,6.2,128
Bread - Flat Bread,36,11.3,45.5,203
Lid Tray - 16in Dome,41.4,17.5,31.9,152
Kellogs Cereal In A Cup,24.2,42.5,30.8,242
Towel - Roll White,27,10.9,42.2,195
"Chocolate - Pistoles, Lactee, Milk",12,46.5,13.8,156
"Bread - White, Sliced",45.3,19.2,26.6,299
Pork - Belly Fresh,9.2,35.7,46.4,121
Rice - Sushi,44.8,2.5,35.4,274
"Pepsi, 355 Ml",47.5,5.8,2.6,114
